Route,Map,Length (mi),Elevation (ft),Lead-In (mi),Badge XP,Difficulty
Macaron*,France,1.6,49,0,50,1
Glasgow Crit Circuit,Scotland,1.9,112,0.1,60,1
Times Square Circuit,New York,2.2,66,0.5,70,1
Neokyo Crit Course*,Makuri Islands,2.4,62,0.4,90,1
Mech Isle Loop,Makuri Islands,2.5,128,0.1,80,1
Avon Flyer,New York,2.1,82,1.1,65,1
Prospect Park Loop,New York,3.4,121,0.1,110,1
Duchy Estate,Yorkshire,1.9,135,1.1,60,1
Twilight Harbor,Makuri Islands,4.3,108,0.1,135,1
Volcano Circuit,Watopia,2.5,66,1.7,80,1
Castle Crit,Makuri Islands,2.2,144,0.9,69,1
The 6 Train,New York,4,230,0.1,130,1
Issendorf Express,New York,4.5,174,0.1,145,1
Queen's Highway,Yorkshire,1.9,131,1.6,60,1
Sea to Tree,Makuri Islands,2,348,0.4,65,1
Rooftop Rendezvous,Makuri Islands,2.3,184,1.8,74,1
Two Bridges Loop,Watopia,4.4,266,0,140,1
Farmland Loop,Makuri Islands,4.9,190,0.1,155,1
Loch Loop,Scotland,5,233,0,160,1
Electric Loop,Makuri Islands,5.5,141,0,170,1
Bridges and Boardwalks,Makuri Islands,3.9,197,1.2,125,1
The Fan Flats,Richmond,3.2,39,2.6,100,1
Temple Trek,Watopia,4,82,2.5,128,1
Valley to Mountaintop,Makuri Islands,3.1,423,0.1,100,1
Sleepless City,Makuri Islands,6,141,0,185,1
Volcano Circuit CCW,Watopia,2.5,66,3,80,1
The Classic,Watopia,2.9,161,2.5,100,1
Innsbruckring,Innsbruck,5.5,253,0.1,170,1
Railways and Rooftops,Makuri Islands,3.9,233,1.3,120,1
Champs-Élysées,Paris,4.1,128,1.9,130,1
Toefield Tornado,New York,6.3,174,0.1,205,1
Handful of Gravel*,Watopia,3.8,246,2.5,125,1
Gotham Grind,New York,5.8,315,0.1,190,1
Flat Route,Watopia,6.3,200,0.1,200,1
Lutece Express,Paris,4.1,128,2.2,130,1
Hilly Route,Watopia,5.8,358,0,180,1
Hilly Route Reverse*,Watopia,5.8,358,0.1,180,1
London Classique,London,3.4,52,3.5,110,1
Fine and Sandy,Makuri Islands,6.6,253,0.1,210,1
Grand Central Circuit,New York,4.2,472,0.9,140,1
Cobbled Climbs,Richmond,5.7,384,0.2,180,1
Park Perimeter Loop,New York,6.1,413,0,190,1
Park Perimeter Reverse*,New York,6.1,413,0.1,195,1
The Epiloch*,Scotland,5,233,1.7,160,1
Volcano Flat,Watopia,7.6,164,0,240,1
Island Outskirts,Makuri Islands,7.1,295,0.1,225,1
Outer Scotland,Scotland,6.9,341,0.1,220,1
Sprinter's Playground,Makuri Islands,7.7,223,0.1,245,1
City and the Sgurr,Scotland,3.7,338,1.7,120,1
Beach Island Loop,Watopia,8.1,144,0.1,255,1
Jungle Circuit,Watopia,4.9,269,3.5,260,1
Croissant,France,5.8,161,2,185,1
Three Village Loop,Makuri Islands,6.6,305,1.4,210,1
Two Village Loop,Makuri Islands,8,289,0.1,255,1
Astoria Line 8,New York,7.1,459,0,230,1
London Flat,London,7.5,377,0.2,240,1
Flatland Loop,Makuri Islands,8,315,0.1,260,1
London Classique Reverse*,London,3.4,82,4.7,110,1
Dùn Dash,Scotland,7.7,456,0,250,1
Double Span Spin,New York,4.3,262,3.5,145,1
Loop de Loop,Watopia,7.7,472,0.1,246,1
Tour of Tewit Well,Yorkshire,6.7,669,0,210,1
Neon Flats,Makuri Islands,9.1,240,0.1,290,1
Rolling Highlands,Scotland,5.6,253,3.2,180,1
Oh Hill No,Watopia,4.9,1004,0.1,160,1
Makuri Madness,Makuri Islands,9.9,279,0.1,325,1
Lady Liberty,New York,7.7,676,0.1,240,1
Greater London Flat,London,7.3,118,3.5,230,1
Jarvis Seaside Sprint,Watopia,7.8,312,1.7,250,1
Richmond UCI Reverse,Richmond,10.1,417,0,325,1
Mountain Mash,Watopia,3.5,1099,0.1,116,1
2015 UCI Worlds Course,Richmond,10.1,417,0.1,320,1
